mysql: [Warning] Using a password on the command line interface can be insecure.
id	title	priority	status
1325	🚀 核心引擎破局：T1/T2滞后攻坚与资源重配战略复盘 #3316	9	pending
1322	🎯 核心创业目标（T1/T2）攻坚与资源重配战略复盘 #4672	9	pending
1319	🚀 核心引擎重启：T1/T2创业目标滞后根因诊断与冲刺攻坚复盘任务 #8312	9	pending
1318	🚀 《杠杆驱动型执行系统V1.0》方法论封装与全域推广计划 #7958	9	pending
1316	🎯 核心高权重目标（T1/T2）战略突围与执行效能重构复盘 #6012	9	pending
1307	🎯 核心创业目标破局：T1/T2战略复盘与冲刺攻坚 #7848	9	pending
1293	Cycle 2: 核心执行 - 🌐 全域战略执行引擎：三大突破点的方法论封装与组织级复利跃迁...	9	pending
1292	Cycle 1: 初始化与准备 - 🌐 全域战略执行引擎：三大突破点的方法论封装与组织级复利跃迁...	9	pending
1289	🎯 T1/T2核心创业目标战略纠偏与资源重配复盘 #9984	9	pending
1278	T1.4.1: Tavily自动化Research系统	9	pending
1276	T3.3: 论文推广与学术影响力提升	9	pending
1269	🎯 核心创业线（T1/T2）攻坚复盘与资源重配战略任务 #4103	9	pending
1268	T5.2: 儿子小升初清华附中政保准备	9	pending
1267	T5.1: 女儿教育时间线跟踪	9	pending
1258	T1.3.6: 学术信息监控（文献追踪系统）	9	pending
1254	T1.3.4: 文件与知识智能管理	9	pending
1252	T1.3.3: 日历智能管理与优化	9	pending
1249	🎯 核心创业攻坚：T1/T2滞后破局与战略资源重配 #1457	9	pending
1246	T1.2.2: 构建关系知识图谱	9	pending
1244	T2.2.7: 宣传推广与品牌建设	9	pending
1241	T2.2.4: 核心团队招聘与建设	9	pending
1239	T2.2.2: 湿实验自动化平台研发	9	pending
1233	T4.2.2: 国际平台Fiverr/Upwork调研	9	pending
1232	T4.2.1: DFT计算代做服务调研	9	pending
1225	Phase 1.2: 构建本地数据库	9	pending
1224	Phase 1.1: 建立数据采集管道	9	pending
1223	🚀 核心创业目标破局与效能跃升战略复盘 #7002	9	pending
1217	🚀 核心创业目标破局与资源重配战略复盘 #4833	9	pending
1202	🚀 双核引擎破局：T1/T2滞后战略复盘与资源重配任务 #6390	9	pending
1191	🚀 核心创业引擎攻坚与资源重配战略复盘 #8153	9	pending
1187	🧪🤖 深云×和光AI材料合成技术“云-端”协同攻坚计划 #7059	9	pending
1186	🔍 核心创业引擎战略复盘与资源重配行动 🚀 #5981	9	pending
1183	🚀 双核创业引擎提速计划：T1&T2瓶颈攻坚与战略复盘 #1611	9	pending
1180	🎯 战略攻坚：T1/T2高权重引擎收官与动态资源重配复盘 #6213	9	pending
1177	🎯 高权重目标攻坚与效能跃迁：T1-T7战略复盘与系统迭代任务 #5556	9	pending
1174	🚀 核心创投效能跃升：T1/T2长尾任务清零与战略资源再平衡复盘 #2029	9	pending
1170	🚀 核心创业线效能跃升：T1/T2战略复盘与Backlog结构优化 #2033	9	pending
1167	🚀 高权重创业引擎攻坚与战略资源再平衡复盘 #9187	9	pending
1163	🚀 高权重主线攻坚与全局效能跃迁战略复盘 #2877	9	pending
1160	🚀 核心引擎提速：高权重创业目标（T1/T2）攻坚与全局效能战略复盘 #7845	9	pending
1157	🎯 战略复盘任务：高权重创业目标效能跃升与资源重配工程 #6276	9	pending
1147	🚀 核心创业引擎效能跃升与动态复盘任务 📊 #7877	9	pending
1144	🚀 核心引擎攻坚与全局效能跃升：战略偏差校正与资源重配复盘任务 #3244	9	pending
1141	🚀 核心业务攻坚与效能跃迁：T1/T2战略复盘与待办清零计划 #8284	9	pending
1138	🎯 核心业务效能跃迁：7大人生目标战略复盘与资源重配任务 #7785	9	pending
1135	🚀 核心引擎效能跃升：T1/T2创业目标攻坚与全维战略复盘 #4682	9	pending
1132	🎯 战略破局与效能跃升：高权重目标攻坚与待办项清零复盘 #3290	9	pending
1129	🎯 战略重心校准与核心攻坚复盘任务 #3772	9	pending
1126	🚀 高权重创业目标攻坚与全链路效能跃升复盘 #6012	9	pending
1123	🔍 战略复盘：核心创业引擎效能跃迁与高优执行迁移计划 #7323	9	pending
1120	🚀 核心引擎提速：T1/T2创业目标战略对齐与执行攻坚复盘 #4209	9	pending
1117	🔍 战略复盘：高权重创业目标攻坚与全维效能跃迁计划 #6118	9	pending
1114	🎯 核心创业目标攻坚与全局效能跃升战略复盘 #5411	9	pending
1111	🚀 核心破局与效能固化：T1/T2高权重目标战略复盘任务 #5864	9	pending
1108	🚀 战略复盘与效能跃迁：7大目标深度闭环与资源重配 #7874	9	pending
1105	🧭 战略深潜：T1/T2高权重目标攻坚与全周期效能复盘 #4660	9	pending
1102	🎯 核心业务效能跃升与战略资源再平衡复盘 | Strategic Portfolio Review #2812	9	pending
1099	🚀 核心创业矩阵攻坚与战略资源动态再平衡复盘 #8822	9	pending
1096	🎯 战略复盘与效能跃迁：核心业务长尾清零与Pipeline机制构建 #4834	9	pending
1093	🎯 核心创业目标攻坚与效能跃升复盘：从“高完成率”到“高杠杆产出”的战略校准 #5242	9	pending
1090	🎯 战略复盘与效能跃迁：7大目标周期评估与资源重配 #8255	9	pending
1087	🚀 核心高权重目标尾项攻坚与执行系统升维复盘 #4944	9	pending
1084	🔍 高权重创业目标（T1/T2）效能跃升与待办清零战略复盘 #1616	9	pending
1081	🎯 战略权重与执行效能对齐复盘：高优目标攻坚与系统跃升 #8191	9	pending
1078	🎯 战略复盘：高权重目标收敛与效能跃迁计划 #4461	9	pending
1075	🚀 战略跃迁：7大人生目标深度复盘与效能飞轮构建 #2257	9	pending
1072	⚖️🚀 战略重心校准与高权重目标攻坚复盘 #2077	9	pending
1066	🎯 战略复盘：高权重目标效能跃升与资源动态重配计划 #4248	9	pending
1063	🎯 战略收官与系统跃迁复盘：从「高执行率」到「可复制增长」 #8926	9	pending
1060	🎯 战略跃迁复盘：90%+完成率下的效能萃取与T1/T2攻坚路径规划 #6966	9	pending
1057	🚀 高维效能跃迁：全目标战略复盘与下一周期杠杆校准 #3182	9	pending
1054	🚀 高绩效周期战略复盘与下一阶段跃迁规划 #2120	9	pending
1008	🎯 高维复盘与战略跃迁：七大人生目标效能审计与下期基线构建 #8226	9	pending
1336	🚀 杠杆驱动执行系统：从“饱和交付”到“战略跃迁”的方法论封装与全域推广 #4240	8	pending
1335	🧪🤖「智合·光成」AI材料合成技术协同与联合申报专项 #2461	8	pending
1333	🚀 杠杆驱动型执行体系：从“极致交付”到“效能复利”的方法论封装与全域推广 #5162	8	pending
1332	🤖🔬 双擎驱动：深云智合×和光智成AI材料合成技术协同攻关 #8141	8	pending
1330	⚖️🚀 杠杆驱动执行引擎：SOP资产化与方法论全域推广计划 #7651	8	pending
1329	🧬🤖 AI材料合成技术共享与联合申报攻坚计划 #6651	8	pending
1327	🚀 杠杆驱动效能跃迁：从「极致交付」到「战略杠杆」的方法论封装与规模化推广计划 #3858	8	pending
1326	🤖🔬 深云×和光：AI材料合成技术跨域协同与联合攻关计划 #8423	8	pending
1324	🚀 杠杆跃迁引擎：从“极致交付”到“高价值执行”方法论构建与全域推广计划 #4368	8	pending
1323	🧪🤖 T1&T2协同攻坚：AI材料合成技术共享与联合申报计划 #6514	8	pending
1321	🚀 杠杆驱动型执行体系（LDE）资产化与规模化推广战略任务 #1787	8	pending
1320	🤖⚛️ AI材料合成技术融通与联合申报攻坚计划 #6306	8	pending
1317	🧪🤖 “智材共生”AI材料合成技术协同与联合申报攻坚计划 🚀 #3278	8	pending
1315	🚀 战略跃迁引擎：从极致交付到杠杆增长的方法论萃取与全域推广计划 #4551	8	pending
1314	🤖⚗️ “智材共生”：跨域AI材料合成技术共享与联合申报攻坚计划 #8381	8	pending
1312	🚀 破局到范式：「Superpowers」高价值事务SOP萃取与组织级推广计划 #9798	8	pending
1311	🤝 AI材料合成技术协同攻坚：深云智合×和光智成联合研发与申报计划 #7171	8	pending
1309	🧩 突破资产化引擎：跨域协同与流程标准化方法论提炼与规模化推广 #1199	8	pending
1308	🧪🤖「智合光成」AI材料合成技术共享与联合申报攻坚计划 #5709	8	pending
1299	🧬 AI驱动研发协同范式构建与全域赋能计划 #7395	8	pending
1298	🧪🤖 “智材共创”：AI材料合成技术跨项目共享与联合攻关计划 #1274	8	pending
1296	🚀 AI材料研发协同范式跃迁：从“单点试点”到“可复制方法论”的标准化推广 #1580	8	pending
1295	🧪🔗 「深和智汇」AI材料合成技术共享与联合申报专项 🚀 #4184	8	pending
1291	🧬🔗 AI材料研发跨域协同方法论萃取与规模化推广计划 #6588	8	pending
1290	🧪🤖 智合×光成：AI材料合成技术共享与联合申报攻坚计划 #2170	8	pending
1286	T5: 加强该领域任务执行（基于历史分析）	8	pending
1285	T3: 加强该领域任务执行（基于历史分析）	8	pending
1284	🚀🔬 AI材料研发协同范式：从项目实践到组织级方法论的跃迁 #6800	8	pending
1283	🧪🔗 「智合光成」AI材料合成技术共享与联合申报攻坚计划 #5746	8	pending
1281	🧬🔗 AI研发跨域协同：从项目试点到标准化方法论的跃迁任务 #4017	8	pending
1280	🧬🤝 AI材料合成技术破壁计划：深云智合×和光智成联合研发与申报攻坚 #1816	8	pending
1279	T1.4.2: Research报告生成与智能推送	8	pending
1270	T5.3: 妻子工作减负与家庭事务优化	8	pending
1259	Hermes-Academic: 集成文献下载能力	8	pending
1256	🧬🔗 AI研发跨域协同范式萃取与组织级推广计划 #1602	8	pending
1255	T1.3.5: 网络浏览智能分析	8	pending
1253	🧪🤖 “智材共生”AI合成技术跨界协同与联合攻关计划 #8754	8	pending
1248	T1.2.4: 关系价值评估与优化	8	pending
1243	T2.2.6: 政府关系与政策支持	8	pending
1242	T2.2.5: 知识产权与专利布局	8	pending
1235	T4.2.4: 抖音/小红书内容变现调研	8	pending
1234	T4.2.3: 电商选品调研（淘宝/京东）	8	pending
1231	🧬🔗 AI材料研发跨域协同方法论萃取与规模化推广计划 #4041	8	pending
1230	🤖⚗️ AI材料合成技术协同引擎：跨项目联合研发与申报攻坚计划 #5697	8	pending
1227	Phase 2.2: 开发技术分析模型	8	pending
1226	Phase 2.1: 开发估值模型	8	pending
1222	🔬 从试点到范式：AI材料研发跨域协同SOP萃取与规模化推广 #3249	8	pending
1221	🔬🤖 「智合×光成」AI材料合成技术共享与联合申报攻坚计划 #1358	8	pending
1219	🚀 跨域AI研发协同范式沉淀与规模化推广计划 #4693	8	pending
